cluster,tissue,proportion
0,liver,0.37681159420289856
0,kidney,0.18840579710144928
0,forebrain,0.18115942028985507
0,testis,0.10144927536231885
0,heart,0.07246376811594203
0,hindbrain,0.050724637681159424
0,ovary,0.028985507246376812
1,testis,0.47368421052631576
1,hindbrain,0.23026315789473684
1,kidney,0.17763157894736842
1,forebrain,0.08552631578947369
1,heart,0.02631578947368421
1,liver,0.006578947368421052
2,kidney,0.3333333333333333
2,forebrain,0.28484848484848485
2,hindbrain,0.15151515151515152
2,heart,0.07272727272727272
2,ovary,0.06060606060606061
2,liver,0.048484848484848485
2,testis,0.048484848484848485
3,liver,0.4888888888888889
3,kidney,0.13333333333333333
3,heart,0.13333333333333333
3,testis,0.1111111111111111
3,forebrain,0.06666666666666667
3,hindbrain,0.06666666666666667
